date,signal_time,direction,option_type,broken_level,breakout_time,breakout_price,reversal_price,speed_candles,confluence_score,nearby_levels,volume_ok,conviction,strike_hint,nifty_spot,trend_dir,trend_strength,adx,rev_quality,rev_metrics,day_structure,struct_metrics,trigger_type
2026-03-16,2026-03-16 11:15:00,long,CE,23099.8,2026-03-16 10:20:00,23055.75,23187.75,11,12,"PDL@23112.0, PWL@23112.0",True,MEDIUM,ATM,23187.75,neutral,strong,43.35,strong_reversal,"{'hh_ratio': 1.0, 'lh_ratio': 0.0, 'rise_points': np.float64(232.2), 'rise_pct': np.float64(1.012), 'avg_range': np.float64(59.89), 'trough': np.float64(22955.55)}",strong_bounce(71%),"{'ll_run': 1, 'has_higher_low': False, 'retrace_pct': np.float64(0.706), 'recent_low': np.float64(22955.55), 'bounce_size': np.float64(232.2), 'n_swings_low': 2}",failed_breakout
2026-03-17,2026-03-17 10:25:00,short,PE,23536.85,2026-03-17 10:15:00,23555.2,23500.2,2,9,PDH@23502.0,True,HIGH,ATM (delta ~0.5),23500.2,neutral,weak,0.0,strong_reversal,"{'lh_ratio': 1.0, 'hl_ratio': 0.0, 'drop_points': np.float64(76.35), 'drop_pct': np.float64(0.324), 'avg_range': np.float64(52.95), 'peak': np.float64(23576.55)}",structure_ok,"{'hh_run': 0, 'has_lower_high': False, 'retrace_pct': np.float64(0.333), 'recent_high': np.float64(23576.55), 'pullback': np.float64(76.35), 'n_swings_high': 0}",failed_breakout
2026-03-17,2026-03-17 11:10:00,short,PE,23576.55,2026-03-17 11:10:00,23576.55,23470.55,5,5,,True,MEDIUM,ATM,23470.55,neutral,moderate,21.37,type_B_swing,"{'tested': 'TDH', 'hl_diff': np.float64(42.650390625)}",structure_reversed_LH_confirmed,"{'hh_run': 0, 'has_lower_high': True, 'retrace_pct': np.float64(0.463), 'recent_high': np.float64(23576.55), 'pullback': np.float64(106.0), 'n_swings_high': 2}",swing_high_rejection
2026-03-17,2026-03-17 12:25:00,long,CE,23347.4,2026-03-17 12:25:00,23347.4,23406.85,5,5,,True,MEDIUM,ATM,23406.85,neutral,strong,46.66,type_B_swing,"{'tested': 'TDL', 'hl_diff': np.float64(20.3515625)}",structure_reversed_HL_confirmed,"{'ll_run': 0, 'has_higher_low': True, 'retrace_pct': np.float64(0.259), 'recent_low': np.float64(23347.4), 'bounce_size': np.float64(59.45), 'n_swings_low': 3}",swing_low_reclaim
2026-03-18,2026-03-18 15:15:00,short,PE,23861.8,2026-03-18 15:15:00,23861.8,23766.8,5,5,,True,MEDIUM,ATM,23766.8,bearish,strong,33.5,type_B_swing,"{'tested': 'TDH', 'hl_diff': np.float64(52.0)}",structure_reversed_LH_confirmed,"{'hh_run': 0, 'has_lower_high': True, 'retrace_pct': np.float64(0.942), 'recent_high': np.float64(23861.8), 'pullback': np.float64(95.0), 'n_swings_high': 4}",swing_high_rejection
2026-03-19,2026-03-19 13:35:00,long,CE,23194.7,2026-03-19 13:20:00,23181.8,23204.5,3,5,,True,MEDIUM,ATM,23204.5,bearish,moderate,23.01,strong_reversal,"{'hh_ratio': 0.5, 'lh_ratio': 0.5, 'rise_points': np.float64(31.95), 'rise_pct': np.float64(0.138), 'avg_range': np.float64(24.63), 'trough': np.float64(23172.55)}",structure_reversed_HL_confirmed,"{'ll_run': 0, 'has_higher_low': True, 'retrace_pct': np.float64(0.22), 'recent_low': np.float64(23172.55), 'bounce_size': np.float64(31.95), 'n_swings_low': 3}",failed_breakout
2026-03-23,2026-03-23 10:35:00,long,CE,22554.1,2026-03-23 10:20:00,22538.5,22557.95,3,5,,True,MEDIUM,ATM,22557.95,bearish,moderate,18.67,strong_reversal,"{'hh_ratio': 1.0, 'lh_ratio': 0.0, 'rise_points': np.float64(28.1), 'rise_pct': np.float64(0.125), 'avg_range': np.float64(34.43), 'trough': np.float64(22529.85)}",structure_ok,"{'ll_run': 0, 'has_higher_low': False, 'retrace_pct': np.float64(0.091), 'recent_low': np.float64(22529.85), 'bounce_size': np.float64(28.1), 'n_swings_low': 0}",failed_breakout
2026-03-24,2026-03-24 10:45:00,long,CE,22682.3,2026-03-24 10:30:00,22667.75,22692.0,3,5,,True,MEDIUM,ATM,22692.0,bearish,weak,11.7,strong_reversal,"{'hh_ratio': 1.0, 'lh_ratio': 0.0, 'rise_points': np.float64(67.1), 'rise_pct': np.float64(0.297), 'avg_range': np.float64(53.13), 'trough': np.float64(22624.9)}",structure_ok,"{'ll_run': 0, 'has_higher_low': False, 'retrace_pct': np.float64(0.246), 'recent_low': np.float64(22624.9), 'bounce_size': np.float64(67.1), 'n_swings_low': 1}",failed_breakout
2026-03-24,2026-03-24 14:35:00,short,PE,22935.55,2026-03-24 12:35:00,22952.7,22895.95,24,8,PWL@22930.3,True,MEDIUM,ATM,22895.95,bearish,moderate,22.92,strong_reversal,"{'lh_ratio': 0.73, 'hl_ratio': 0.45, 'drop_points': np.float64(161.15), 'drop_pct': np.float64(0.699), 'avg_range': np.float64(45.55), 'peak': np.float64(23057.1)}",structure_reversed_LH_confirmed,"{'hh_run': 0, 'has_lower_high': True, 'retrace_pct': np.float64(0.438), 'recent_high': np.float64(23057.1), 'pullback': np.float64(161.15), 'n_swings_high': 4}",failed_breakout
2026-03-25,2026-03-25 11:35:00,short,PE,23378.0,2026-03-25 11:00:00,23391.15,23359.1,7,5,,True,MEDIUM,ATM,23359.1,neutral,strong,55.53,strong_reversal,"{'lh_ratio': 0.75, 'hl_ratio': 0.25, 'drop_points': np.float64(75.15), 'drop_pct': np.float64(0.321), 'avg_range': np.float64(31.05), 'peak': np.float64(23434.25)}",structure_ok,"{'hh_run': 0, 'has_lower_high': False, 'retrace_pct': np.float64(0.205), 'recent_high': np.float64(23434.25), 'pullback': np.float64(75.15), 'n_swings_high': 1}",failed_breakout
