,adj close,close,high,low,open,volume
2026-02-26 09:15:00,25535.099609375,25535.099609375,25566.94921875,25525.80078125,25551.55078125,0
2026-02-26 09:20:00,25498.44921875,25498.44921875,25543.099609375,25489.150390625,25534.30078125,0
2026-02-26 09:25:00,25504.44921875,25504.44921875,25519.0,25488.30078125,25499.099609375,0
2026-02-26 09:30:00,25518.80078125,25518.80078125,25519.69921875,25492.099609375,25505.150390625,0
2026-02-26 09:35:00,25545.0,25545.0,25547.44921875,25516.400390625,25518.849609375,0
2026-02-26 09:40:00,25555.900390625,25555.900390625,25556.30078125,25538.80078125,25543.30078125,0
2026-02-26 09:45:00,25557.19921875,25557.19921875,25565.599609375,25547.05078125,25555.30078125,0
2026-02-26 09:50:00,25510.599609375,25510.599609375,25559.44921875,25508.19921875,25557.30078125,0
2026-02-26 09:55:00,25518.349609375,25518.349609375,25520.599609375,25500.099609375,25509.80078125,0
2026-02-26 10:00:00,25543.80078125,25543.80078125,25543.80078125,25516.75,25517.94921875,0
2026-02-26 10:05:00,25563.30078125,25563.30078125,25563.30078125,25540.25,25543.25,0
2026-02-26 10:10:00,25558.25,25558.25,25572.25,25556.25,25561.94921875,0
2026-02-26 10:15:00,25560.75,25560.75,25562.0,25544.5,25558.599609375,0
2026-02-26 10:20:00,25538.400390625,25538.400390625,25561.69921875,25534.80078125,25560.55078125,0
2026-02-26 10:25:00,25526.94921875,25526.94921875,25550.25,25519.55078125,25537.650390625,0
2026-02-26 10:30:00,25536.599609375,25536.599609375,25544.349609375,25523.55078125,25526.55078125,0
2026-02-26 10:35:00,25529.30078125,25529.30078125,25542.30078125,25523.19921875,25538.94921875,0
2026-02-26 10:40:00,25531.80078125,25531.80078125,25539.849609375,25521.55078125,25527.599609375,0
2026-02-26 10:45:00,25548.150390625,25548.150390625,25551.55078125,25527.099609375,25532.80078125,0
2026-02-26 10:50:00,25525.75,25525.75,25548.05078125,25525.75,25545.44921875,0
2026-02-26 10:55:00,25509.94921875,25509.94921875,25528.650390625,25505.44921875,25527.150390625,0
2026-02-26 11:00:00,25521.80078125,25521.80078125,25523.44921875,25491.69921875,25506.900390625,0
2026-02-26 11:05:00,25513.55078125,25513.55078125,25522.55078125,25509.5,25520.75,0
2026-02-26 11:10:00,25523.25,25523.25,25530.44921875,25510.19921875,25513.25,0
2026-02-26 11:15:00,25534.44921875,25534.44921875,25538.849609375,25517.44921875,25523.5,0
2026-02-26 11:20:00,25540.650390625,25540.650390625,25541.099609375,25526.05078125,25533.69921875,0
2026-02-26 11:25:00,25536.75,25536.75,25570.849609375,25535.19921875,25541.400390625,0
2026-02-26 11:30:00,25521.349609375,25521.349609375,25537.25,25512.55078125,25535.349609375,0
2026-02-26 11:35:00,25502.75,25502.75,25524.0,25495.75,25522.099609375,0
2026-02-26 11:40:00,25461.349609375,25461.349609375,25501.75,25458.599609375,25501.69921875,0
2026-02-26 11:45:00,25483.349609375,25483.349609375,25490.44921875,25452.349609375,25460.349609375,0
