,open,high,low,close,volume
2026-05-04 11:06:00+05:30,24206.650390625,24212.5,24194.349609375,24212.5,0
2026-05-04 11:09:00+05:30,24213.099609375,24216.099609375,24204.650390625,24213.900390625,0
2026-05-04 11:12:00+05:30,24213.0,24227.80078125,24213.0,24227.25,0
2026-05-04 11:15:00+05:30,24227.5,24242.25,24226.44921875,24237.25,0
2026-05-04 11:18:00+05:30,24237.25,24239.19921875,24228.75,24231.650390625,0
2026-05-04 11:21:00+05:30,24231.849609375,24237.5,24224.80078125,24230.099609375,0
2026-05-04 11:24:00+05:30,24229.69921875,24235.349609375,24224.099609375,24227.94921875,0
2026-05-04 11:27:00+05:30,24228.150390625,24239.05078125,24226.94921875,24237.400390625,0
2026-05-04 11:30:00+05:30,24237.30078125,24239.55078125,24225.05078125,24237.349609375,0
2026-05-04 11:33:00+05:30,24238.19921875,24241.19921875,24228.25,24230.400390625,0
2026-05-04 11:36:00+05:30,24230.25,24231.900390625,24218.55078125,24231.69921875,0
2026-05-04 11:39:00+05:30,24231.849609375,24242.80078125,24221.75,24221.94921875,0
2026-05-04 11:42:00+05:30,24223.0,24238.05078125,24222.5,24228.44921875,0
2026-05-04 11:45:00+05:30,24229.0,24238.0,24229.0,24237.349609375,0
2026-05-04 11:48:00+05:30,24237.400390625,24249.150390625,24232.19921875,24233.349609375,0
2026-05-04 11:51:00+05:30,24233.900390625,24238.900390625,24225.349609375,24225.75,0
2026-05-04 11:54:00+05:30,24225.80078125,24227.94921875,24212.900390625,24216.849609375,0
2026-05-04 11:57:00+05:30,24217.75,24224.69921875,24214.900390625,24221.05078125,0
2026-05-04 12:00:00+05:30,24222.5,24229.900390625,24216.75,24222.150390625,0
2026-05-04 12:03:00+05:30,24222.0,24223.55078125,24209.55078125,24215.849609375,0
2026-05-04 12:06:00+05:30,24216.05078125,24217.94921875,24190.849609375,24200.69921875,0
2026-05-04 12:09:00+05:30,24200.69921875,24203.80078125,24151.44921875,24153.099609375,0
2026-05-04 12:12:00+05:30,24153.25,24153.25,24115.80078125,24117.0,0
2026-05-04 12:15:00+05:30,24117.349609375,24128.25,24106.5,24109.30078125,0
2026-05-04 12:18:00+05:30,24110.0,24154.099609375,24108.900390625,24145.650390625,0
2026-05-04 12:21:00+05:30,24145.55078125,24146.19921875,24121.80078125,24130.25,0
2026-05-04 12:24:00+05:30,24130.400390625,24145.650390625,24130.400390625,24144.44921875,0
2026-05-04 12:27:00+05:30,24144.25,24144.75,24127.19921875,24132.80078125,0
2026-05-04 12:30:00+05:30,24132.650390625,24134.650390625,24115.69921875,24118.05078125,0
2026-05-04 12:33:00+05:30,24118.599609375,24127.05078125,24106.05078125,24123.400390625,0
2026-05-04 12:36:00+05:30,24123.80078125,24127.150390625,24109.349609375,24117.0,0
2026-05-04 12:39:00+05:30,24117.19921875,24133.55078125,24116.05078125,24130.75,0
2026-05-04 12:42:00+05:30,24131.19921875,24133.0,24098.55078125,24100.55078125,0
2026-05-04 12:45:00+05:30,24100.94921875,24119.05078125,24099.25,24106.0,0
2026-05-04 12:48:00+05:30,24105.94921875,24107.099609375,24083.599609375,24097.69921875,0
2026-05-04 12:51:00+05:30,24097.05078125,24118.650390625,24093.75,24114.849609375,0
2026-05-04 12:54:00+05:30,24115.099609375,24117.400390625,24106.599609375,24113.0,0
2026-05-04 12:57:00+05:30,24115.44921875,24118.849609375,24101.55078125,24103.80078125,0
2026-05-04 13:00:00+05:30,24104.19921875,24106.349609375,24090.55078125,24099.0,0
2026-05-04 13:03:00+05:30,24098.30078125,24110.05078125,24094.5,24105.69921875,0
2026-05-04 13:06:00+05:30,24105.5,24111.5,24096.849609375,24109.69921875,0
2026-05-04 13:09:00+05:30,24109.349609375,24115.69921875,24109.150390625,24113.75,0
2026-05-04 13:12:00+05:30,24114.099609375,24121.349609375,24107.150390625,24109.099609375,0
2026-05-04 13:15:00+05:30,24109.05078125,24111.75,24091.0,24091.0,0
2026-05-04 13:18:00+05:30,24091.44921875,24105.349609375,24079.44921875,24080.80078125,0
2026-05-04 13:21:00+05:30,24081.349609375,24088.69921875,24059.05078125,24062.349609375,0
2026-05-04 13:24:00+05:30,24062.599609375,24085.849609375,24061.94921875,24081.05078125,0
2026-05-04 13:27:00+05:30,24079.849609375,24082.05078125,24024.900390625,24025.25,0
2026-05-04 13:30:00+05:30,24023.349609375,24038.75,24005.30078125,24023.94921875,0
2026-05-04 13:33:00+05:30,24024.25,24035.099609375,24007.55078125,24008.94921875,0
2026-05-04 13:36:00+05:30,24008.75,24031.44921875,24008.55078125,24026.80078125,0
2026-05-04 13:39:00+05:30,24027.44921875,24059.44921875,24027.44921875,24058.900390625,0
2026-05-04 13:42:00+05:30,24058.75,24090.650390625,24058.650390625,24086.80078125,0
2026-05-04 13:45:00+05:30,24087.0,24090.80078125,24080.400390625,24083.94921875,0
2026-05-04 13:48:00+05:30,24084.05078125,24099.849609375,24083.349609375,24099.849609375,0
2026-05-04 13:51:00+05:30,24099.650390625,24108.900390625,24087.55078125,24087.599609375,0
2026-05-04 13:54:00+05:30,24088.19921875,24089.849609375,24075.5,24080.150390625,0
2026-05-04 13:57:00+05:30,24080.349609375,24081.849609375,24050.400390625,24072.25,0
2026-05-04 14:00:00+05:30,24072.25,24080.30078125,24060.849609375,24062.30078125,0
2026-05-04 14:03:00+05:30,24062.650390625,24074.44921875,24053.80078125,24072.349609375,0
2026-05-04 14:06:00+05:30,24072.69921875,24077.5,24060.05078125,24065.25,0
2026-05-04 14:09:00+05:30,24065.80078125,24105.650390625,24061.150390625,24103.44921875,0
2026-05-04 14:12:00+05:30,24102.44921875,24111.599609375,24099.0,24103.75,0
2026-05-04 14:15:00+05:30,24105.0,24116.150390625,24102.69921875,24114.69921875,0
2026-05-04 14:18:00+05:30,24115.349609375,24147.94921875,24115.349609375,24144.94921875,0
2026-05-04 14:21:00+05:30,24145.099609375,24149.69921875,24121.05078125,24132.150390625,0
