date,month_high,month_low,month_close
2016-05-31,8213.599609375,8077.0498046875,8160.10009765625
2016-06-30,8308.150390625,7927.0498046875,8287.75
2016-07-31,8674.7001953125,8287.5498046875,8638.5
2016-08-31,8819.2001953125,8518.150390625,8786.2001953125
2016-09-30,8968.7001953125,8555.2001953125,8611.150390625
2016-10-31,8806.9501953125,8506.150390625,8638.0
2016-11-30,8669.599609375,7916.39990234375,8224.5
2016-12-31,8274.9501953125,7893.7998046875,8185.7998046875
2017-01-31,8672.7001953125,8133.7998046875,8561.2998046875
2017-02-28,8982.150390625,8537.5,8879.599609375
2017-03-31,9218.400390625,8860.099609375,9173.75
2017-04-30,9367.150390625,9075.150390625,9304.0498046875
2017-05-31,9649.599609375,9269.900390625,9621.25
2017-06-30,9709.2998046875,9448.75,9520.900390625
2017-07-31,10114.849609375,9543.5498046875,10077.099609375
2017-08-31,10137.849609375,9685.5498046875,9917.900390625
2017-09-30,10178.9501953125,9687.5498046875,9788.599609375
2017-10-31,10384.5,9831.0498046875,10335.2998046875
2017-11-30,10490.4501953125,10094.0,10226.5498046875
2017-12-31,10552.400390625,10033.349609375,10530.7001953125
2018-01-31,11171.5498046875,10404.650390625,11027.7001953125
2018-02-28,11117.349609375,10276.2998046875,10492.849609375
2018-03-31,10525.5,9951.900390625,10113.7001953125
2018-04-30,10759.0,10111.2998046875,10739.349609375
2018-05-31,10929.2001953125,10417.7998046875,10736.150390625
2018-06-30,10893.25,10550.900390625,10714.2998046875
2018-07-31,11366.0,10604.650390625,11356.5
2018-08-31,11760.2001953125,11234.9501953125,11680.5
2018-09-30,11751.7998046875,10850.2998046875,10930.4501953125
2018-10-31,11035.650390625,10004.5498046875,10386.599609375
2018-11-30,10922.4501953125,10341.900390625,10876.75
2018-12-31,10985.150390625,10333.849609375,10862.5498046875
2019-01-31,10987.4501953125,10583.650390625,10830.9501953125
2019-02-28,11118.099609375,10585.650390625,10792.5
2019-03-31,11588.5,10817.0,11570.0
2019-04-30,11856.150390625,11549.099609375,11748.150390625
2019-05-31,12041.150390625,11108.2998046875,11922.7998046875
2019-06-30,12103.0498046875,11625.099609375,11788.849609375
2019-07-31,11981.75,10999.400390625,11118.0
2019-08-31,11181.4501953125,10637.150390625,11023.25
2019-09-30,11694.849609375,10670.25,11474.4501953125
2019-10-31,11945.0,11090.150390625,11877.4501953125
2019-11-30,12158.7998046875,11802.650390625,12056.0498046875
2019-12-31,12293.900390625,11832.2998046875,12168.4501953125
2020-01-31,12430.5,11929.599609375,11962.099609375
2020-02-29,12246.7001953125,11175.0498046875,11201.75
2020-03-31,11433.0,7511.10009765625,8597.75
