,Close,High,Low,Open,Volume
2026-05-04 09:15:00+05:30,24182.44921875,24245.849609375,24096.19921875,24096.19921875,0
2026-05-04 09:16:00+05:30,24187.75,24205.849609375,24162.400390625,24182.5,0
2026-05-04 09:17:00+05:30,24156.150390625,24196.05078125,24155.150390625,24181.05078125,0
2026-05-04 09:18:00+05:30,24192.80078125,24200.55078125,24158.150390625,24158.150390625,0
2026-05-04 09:19:00+05:30,24177.05078125,24194.55078125,24169.400390625,24192.69921875,0
2026-05-04 09:20:00+05:30,24196.44921875,24214.69921875,24178.900390625,24178.900390625,0
2026-05-04 09:21:00+05:30,24184.150390625,24201.349609375,24184.150390625,24197.44921875,0
2026-05-04 09:22:00+05:30,24188.900390625,24207.150390625,24179.5,24184.150390625,0
2026-05-04 09:23:00+05:30,24182.75,24190.849609375,24175.30078125,24189.099609375,0
2026-05-04 09:24:00+05:30,24179.650390625,24184.05078125,24164.099609375,24181.80078125,0
2026-05-04 09:25:00+05:30,24190.94921875,24195.849609375,24181.849609375,24181.849609375,0
2026-05-04 09:26:00+05:30,24198.69921875,24199.349609375,24189.0,24191.25,0
2026-05-04 09:27:00+05:30,24212.150390625,24212.44921875,24191.849609375,24199.599609375,0
2026-05-04 09:28:00+05:30,24209.69921875,24220.400390625,24207.30078125,24211.44921875,0
2026-05-04 09:29:00+05:30,24214.55078125,24218.900390625,24205.75,24209.44921875,0
2026-05-04 09:30:00+05:30,24232.849609375,24233.599609375,24215.599609375,24215.599609375,0
2026-05-04 09:31:00+05:30,24216.44921875,24235.0,24213.5,24230.650390625,0
2026-05-04 09:32:00+05:30,24194.69921875,24219.69921875,24194.69921875,24217.69921875,0
2026-05-04 09:33:00+05:30,24198.94921875,24202.69921875,24181.05078125,24194.05078125,0
2026-05-04 09:34:00+05:30,24229.5,24230.5,24200.30078125,24200.30078125,0
2026-05-04 09:35:00+05:30,24244.0,24248.0,24229.19921875,24229.19921875,0
2026-05-04 09:36:00+05:30,24238.5,24257.849609375,24236.0,24245.05078125,0
2026-05-04 09:37:00+05:30,24257.80078125,24259.400390625,24232.099609375,24238.900390625,0
2026-05-04 09:38:00+05:30,24263.94921875,24268.75,24256.69921875,24257.94921875,0
2026-05-04 09:39:00+05:30,24261.0,24268.05078125,24261.0,24263.5,0
2026-05-04 09:40:00+05:30,24276.150390625,24289.19921875,24259.94921875,24262.05078125,0
2026-05-04 09:41:00+05:30,24283.25,24287.349609375,24274.05078125,24276.599609375,0
2026-05-04 09:42:00+05:30,24277.150390625,24287.75,24276.599609375,24283.69921875,0
2026-05-04 09:43:00+05:30,24277.19921875,24284.650390625,24273.400390625,24278.150390625,0
2026-05-04 09:44:00+05:30,24276.650390625,24280.099609375,24268.5,24278.650390625,0
2026-05-04 09:45:00+05:30,24275.5,24283.80078125,24272.94921875,24279.25,0
2026-05-04 09:46:00+05:30,24269.75,24276.75,24269.0,24275.30078125,0
2026-05-04 09:47:00+05:30,24276.94921875,24280.25,24268.25,24269.55078125,0
2026-05-04 09:48:00+05:30,24270.30078125,24279.94921875,24270.30078125,24277.400390625,0
2026-05-04 09:49:00+05:30,24269.349609375,24272.55078125,24265.94921875,24270.099609375,0
2026-05-04 09:50:00+05:30,24258.900390625,24272.599609375,24258.400390625,24270.150390625,0
2026-05-04 09:51:00+05:30,24252.849609375,24264.150390625,24249.55078125,24259.30078125,0
2026-05-04 09:52:00+05:30,24258.900390625,24260.25,24252.25,24253.30078125,0
2026-05-04 09:53:00+05:30,24228.30078125,24259.75,24227.650390625,24259.75,0
2026-05-04 09:54:00+05:30,24232.150390625,24238.650390625,24225.25,24228.25,0
2026-05-04 09:55:00+05:30,24239.150390625,24245.30078125,24229.55078125,24234.150390625,0
2026-05-04 09:56:00+05:30,24237.19921875,24246.94921875,24237.19921875,24239.80078125,0
2026-05-04 09:57:00+05:30,24244.94921875,24246.099609375,24236.80078125,24238.5,0
2026-05-04 09:58:00+05:30,24241.150390625,24248.099609375,24233.25,24245.30078125,0
2026-05-04 09:59:00+05:30,24246.19921875,24246.849609375,24240.099609375,24240.099609375,0
2026-05-04 10:00:00+05:30,24255.400390625,24259.75,24247.25,24247.25,0
2026-05-04 10:01:00+05:30,24252.349609375,24258.599609375,24251.69921875,24257.25,0
2026-05-04 10:02:00+05:30,24231.55078125,24255.349609375,24231.55078125,24252.75,0
2026-05-04 10:03:00+05:30,24224.80078125,24234.849609375,24216.099609375,24233.0,0
2026-05-04 10:04:00+05:30,24223.94921875,24227.150390625,24215.05078125,24224.30078125,0
2026-05-04 10:05:00+05:30,24235.099609375,24237.349609375,24221.900390625,24224.0,0
2026-05-04 10:06:00+05:30,24224.44921875,24246.25,24224.44921875,24234.599609375,0
2026-05-04 10:07:00+05:30,24223.19921875,24233.5,24223.05078125,24225.75,0
2026-05-04 10:08:00+05:30,24233.349609375,24233.69921875,24222.0,24222.0,0
2026-05-04 10:09:00+05:30,24223.599609375,24236.599609375,24223.0,24233.94921875,0
2026-05-04 10:10:00+05:30,24228.900390625,24228.900390625,24223.650390625,24224.55078125,0
2026-05-04 10:11:00+05:30,24210.099609375,24230.05078125,24210.099609375,24228.94921875,0
2026-05-04 10:12:00+05:30,24203.05078125,24212.349609375,24202.25,24210.25,0
2026-05-04 10:13:00+05:30,24185.599609375,24201.599609375,24185.599609375,24196.80078125,0
2026-05-04 10:14:00+05:30,24175.19921875,24188.849609375,24172.44921875,24186.55078125,0
2026-05-04 10:15:00+05:30,24178.349609375,24190.400390625,24172.75,24175.30078125,0
2026-05-04 10:16:00+05:30,24175.25,24183.75,24173.69921875,24180.099609375,0
2026-05-04 10:17:00+05:30,24167.849609375,24175.900390625,24166.05078125,24174.900390625,0
2026-05-04 10:18:00+05:30,24171.150390625,24173.55078125,24164.650390625,24168.650390625,0
2026-05-04 10:19:00+05:30,24174.69921875,24176.75,24168.650390625,24171.69921875,0
2026-05-04 10:20:00+05:30,24173.599609375,24178.150390625,24165.19921875,24172.599609375,0
2026-05-04 10:21:00+05:30,24175.94921875,24180.849609375,24173.650390625,24174.05078125,0
2026-05-04 10:22:00+05:30,24152.30078125,24177.599609375,24142.80078125,24176.25,0
2026-05-04 10:23:00+05:30,24149.19921875,24167.94921875,24147.25,24152.55078125,0
2026-05-04 10:24:00+05:30,24151.400390625,24162.849609375,24149.0,24149.0,0
2026-05-04 10:25:00+05:30,24159.900390625,24162.650390625,24150.19921875,24151.400390625,0
2026-05-04 10:26:00+05:30,24164.0,24167.94921875,24154.94921875,24159.94921875,0
2026-05-04 10:27:00+05:30,24161.94921875,24164.900390625,24154.599609375,24162.25,0
2026-05-04 10:28:00+05:30,24181.44921875,24181.44921875,24161.69921875,24161.69921875,0
2026-05-04 10:29:00+05:30,24196.650390625,24196.849609375,24179.599609375,24180.05078125,0
2026-05-04 10:30:00+05:30,24212.150390625,24212.150390625,24197.150390625,24197.5,0
2026-05-04 10:31:00+05:30,24219.05078125,24219.900390625,24211.19921875,24211.19921875,0
2026-05-04 10:32:00+05:30,24208.80078125,24223.349609375,24208.650390625,24218.650390625,0
2026-05-04 10:33:00+05:30,24181.349609375,24211.099609375,24172.19921875,24209.25,0
2026-05-04 10:34:00+05:30,24186.69921875,24187.69921875,24175.349609375,24182.44921875,0
2026-05-04 10:35:00+05:30,24191.55078125,24197.25,24186.80078125,24186.80078125,0
2026-05-04 10:36:00+05:30,24198.80078125,24204.5,24184.19921875,24190.30078125,0
2026-05-04 10:37:00+05:30,24202.44921875,24206.400390625,24198.150390625,24198.150390625,0
2026-05-04 10:38:00+05:30,24210.5,24210.5,24200.349609375,24202.19921875,0
2026-05-04 10:39:00+05:30,24213.5,24217.349609375,24209.25,24211.0,0
2026-05-04 10:40:00+05:30,24211.5,24214.69921875,24208.849609375,24213.650390625,0
2026-05-04 10:41:00+05:30,24214.44921875,24218.0,24206.650390625,24211.349609375,0
2026-05-04 10:42:00+05:30,24213.599609375,24217.400390625,24210.19921875,24214.5,0
2026-05-04 10:43:00+05:30,24218.30078125,24219.650390625,24207.849609375,24213.44921875,0
2026-05-04 10:44:00+05:30,24219.150390625,24222.19921875,24216.599609375,24218.30078125,0
2026-05-04 10:45:00+05:30,24222.69921875,24223.5,24213.44921875,24219.30078125,0
2026-05-04 10:46:00+05:30,24219.25,24225.150390625,24218.599609375,24223.150390625,0
2026-05-04 10:47:00+05:30,24218.69921875,24224.69921875,24216.650390625,24219.80078125,0
2026-05-04 10:48:00+05:30,24231.349609375,24231.349609375,24216.25,24217.599609375,0
2026-05-04 10:49:00+05:30,24232.349609375,24240.650390625,24231.150390625,24231.5,0
2026-05-04 10:50:00+05:30,24234.75,24235.69921875,24230.44921875,24231.900390625,0
2026-05-04 10:51:00+05:30,24234.19921875,24237.099609375,24231.349609375,24235.30078125,0
2026-05-04 10:52:00+05:30,24223.44921875,24236.650390625,24223.44921875,24233.94921875,0
2026-05-04 10:53:00+05:30,24224.55078125,24229.80078125,24223.25,24223.25,0
2026-05-04 10:54:00+05:30,24220.30078125,24224.900390625,24215.44921875,24223.099609375,0
2026-05-04 10:55:00+05:30,24208.5,24221.650390625,24207.44921875,24220.05078125,0
2026-05-04 10:56:00+05:30,24204.5,24210.0,24199.5,24208.75,0
2026-05-04 10:57:00+05:30,24195.44921875,24208.55078125,24194.5,24204.44921875,0
2026-05-04 10:58:00+05:30,24192.900390625,24196.599609375,24191.400390625,24194.25,0
2026-05-04 10:59:00+05:30,24187.25,24197.349609375,24186.19921875,24193.0,0
2026-05-04 11:00:00+05:30,24191.5,24191.599609375,24175.650390625,24188.30078125,0
2026-05-04 11:01:00+05:30,24190.099609375,24193.849609375,24190.099609375,24191.900390625,0
