date,week_high,week_low,week_close
2016-05-27,8164.2001953125,8077.0498046875,8156.64990234375
2016-06-03,8262.0,8134.2998046875,8220.7998046875
2016-06-10,8294.9501953125,8162.85009765625,8170.0498046875
2016-06-17,8213.2001953125,8063.89990234375,8170.2001953125
2016-06-24,8285.599609375,7927.0498046875,8088.60009765625
2016-07-01,8356.75,8039.35009765625,8328.349609375
2016-07-08,8398.4501953125,8287.5498046875,8323.2001953125
2016-07-15,8594.7998046875,8407.0498046875,8541.400390625
2016-07-22,8587.099609375,8476.7001953125,8541.2001953125
2016-07-29,8674.7001953125,8517.2001953125,8638.5
2016-08-05,8711.2998046875,8518.150390625,8683.150390625
2016-08-12,8728.349609375,8540.0498046875,8592.150390625
2016-08-19,8696.599609375,8600.4501953125,8666.900390625
2016-08-26,8684.849609375,8547.5498046875,8572.5498046875
2016-09-02,8824.099609375,8543.75,8809.650390625
2016-09-09,8968.7001953125,8848.4501953125,8866.7001953125
2016-09-16,8847.650390625,8688.900390625,8779.849609375
2016-09-23,8893.349609375,8757.2998046875,8831.5498046875
2016-09-30,8809.5498046875,8555.2001953125,8611.150390625
2016-10-07,8806.9501953125,8635.0,8697.599609375
2016-10-14,8745.7998046875,8541.349609375,8583.400390625
2016-10-21,8727.0,8506.150390625,8693.0498046875
2016-10-28,8736.9501953125,8550.25,8638.0
2016-11-04,8669.599609375,8400.25,8433.75
2016-11-11,8598.4501953125,8002.25,8296.2998046875
2016-11-18,8288.5498046875,8048.2998046875,8074.10009765625
2016-11-25,8122.25,7916.39990234375,8114.2998046875
2016-12-02,8250.7998046875,8066.5,8086.7998046875
2016-12-09,8274.9501953125,8056.85009765625,8261.75
2016-12-16,8230.650390625,8121.9501953125,8139.4501953125
2016-12-23,8132.5,7942.0498046875,7985.75
2016-12-30,8197.0,7893.7998046875,8185.7998046875
2017-01-06,8306.849609375,8133.7998046875,8243.7998046875
2017-01-13,8461.0498046875,8227.75,8400.349609375
2017-01-20,8460.2998046875,8340.9501953125,8349.349609375
2017-01-27,8672.7001953125,8327.2001953125,8641.25
2017-02-03,8757.599609375,8537.5,8740.9501953125
2017-02-10,8822.099609375,8715.0,8793.5498046875
2017-02-17,8896.4501953125,8712.849609375,8821.7001953125
2017-02-24,8982.150390625,8809.7998046875,8939.5
2017-03-03,8992.5,8860.099609375,8897.5498046875
2017-03-10,8977.849609375,8891.9501953125,8934.5498046875
2017-03-17,9218.400390625,9060.5,9160.0498046875
2017-03-24,9167.599609375,9019.2998046875,9108.0
2017-03-31,9191.7001953125,9024.650390625,9173.75
2017-04-07,9273.900390625,9188.099609375,9198.2998046875
2017-04-14,9246.400390625,9144.9501953125,9150.7998046875
2017-04-21,9217.900390625,9075.150390625,9119.400390625
2017-04-28,9367.150390625,9130.5498046875,9304.0498046875
2017-05-05,9377.099609375,9269.900390625,9285.2998046875
2017-05-12,9450.650390625,9297.9501953125,9400.900390625
2017-05-19,9532.599609375,9390.75,9427.900390625
2017-05-26,9604.900390625,9341.650390625,9595.099609375
2017-06-02,9673.5,9547.7001953125,9653.5
2017-06-09,9709.2998046875,9608.150390625,9668.25
2017-06-16,9654.150390625,9560.7998046875,9588.0498046875
2017-06-23,9698.849609375,9565.2998046875,9574.9501953125
